ID,Prediction
1,5.5558504811953835e-30
2,1.0086693307854999e-13
3,0.6
4,2.5703938038705934e-34
5,1.2995741707560419e-20
6,2.4390516273342655e-07
7,0.9999956488609314
8,0.9999580383300781
9,0.9903004169464111
10,2.1171798434309924e-28
11,9.442665598792404e-32
12,0.0
13,1.0
14,2.5359352637242668e-20
15,2.905711977840606e-20
16,1.0
17,1.3193019867685507e-06
18,1.0
19,1.766870493907476e-15
20,0.3382658064365387
21,0.0
22,6.892206147313118e-05
23,1.1800372021752992e-06
24,3.0212956181589583e-38
25,0.0
26,0.9999988079071045
27,1.6381026309714164e-13
28,2.4231524242145e-25
29,7.485249680228642e-25
30,0.6
31,2.1545825019952947e-12
32,2.1728124920628034e-05
33,0.9901671409606934
34,4.382937644647259e-21
35,1.0892526915995404e-06
36,0.9990361928939819
37,0.8598194718360901
38,0.00030403328128159046
39,2.9165516354263136e-34
40,2.595811240924898e-15
41,0.9999474287033081
42,2.8108303367427457e-33
43,0.0
44,0.05573384091258049
45,1.249505447026289e-11
46,8.620315838925308e-07
47,1.0
48,1.2486952296884607e-15
49,1.5209352345424503e-18
50,7.158061920975456e-10
51,1.115609064315818e-25
52,0.00010225198639091104
53,7.50251822968861e-17
54,8.961688756175202e-38
55,2.101244392984971e-17
56,4.871061887179451e-10
57,0.33882221579551697
58,8.522300092927784e-27
59,3.20451797096308e-31
60,0.33882221579551697
61,0.0
62,0.0
63,4.8075735036158784e-26
64,0.999966561794281
65,0.0005592292291112244
66,0.0
67,3.4398500592067406e-30
68,0.6
69,7.075791654642671e-05
70,0.9999926090240479
71,0.0
72,0.9999456405639648
73,0.0
74,1.0
75,7.218214135571767e-16
76,1.0
77,0.0
78,1.0
79,1.0
80,1.0
81,0.9999788999557495
82,1.0
83,1.0
84,1.2444098355777129e-24
85,0.5795637369155884
86,1.0
87,1.0
88,1.0
89,1.0
90,4.24338815563992e-15
91,1.4180864426399035e-29
92,1.5555568744978845e-37
93,0.49804264307022095
94,2.0196061908060995e-25
95,3.4669486458406535e-29
96,0.9999353289604187
97,0.9961516857147217
98,7.219329948451361e-20
99,1.744086125521349e-11
100,1.246655578768241e-08
